name,parent_name,desc,rank
gi-I-4S29J,gi-I-78CD,Rhamnus prinoides L'Hér.,species
gi-I-78CD,gi-I-FN6,Rhamnus L.,genus
gi-I-FN6,gi-I-BMGVT,Rhamnaceae Juss.,family
gi-I-679SM,gi-I-X8J,"Antechinus leo Van Dyck, 1980",species
gi-I-X8J,gi-I-L4X,"Antechinus Macleay, 1841",genus
gi-I-L4X,gi-I-628HY,"Phascogalini Gill, 1872",tribe
gi-I-628HY,gi-I-8ZW,"Dasyurinae Goldfuss, 1820",subfamily
gi-I-8ZW,gi-I-B6L7T,"Dasyuridae Goldfuss, 1820",family
gi-I-B6L7T,gi-I-LJ,"Dasyuromorphia Gill, 1872",order
gi-I-LJ,gi-I-924GT,"Metatheria Huxley, 1880",infraclass
gi-I-34Q9Y,gi-I-4323,"Dendrohyrax dorsalis (Fraser, 1854)",species
gi-I-4323,gi-I-627CP,"Dendrohyrax Gray, 1868",genus
gi-I-627CP,gi-I-3DH,"Procaviidae Thomas, 1892",family
gi-I-3DH,gi-I-LG,"Hyracoidea Huxley, 1869",order
gi-I-BNGTK,gi-I-3G3KN,"Giraffa camelopardalis camelopardalis (Linnaeus, 1758)",subspecies
gi-I-3G3KN,gi-I-4NM5,"Giraffa camelopardalis (Linnaeus, 1758)",species
gi-I-4NM5,gi-I-623HK,"Giraffa Brisson, 1762",genus
gi-I-623HK,gi-I-B6L7D,"Giraffidae Gray, 1821",family
gi-I-B6L7D,gi-I-LG,"Artiodactyla Owen, 1848",order
gi-I-774LP,gi-I-6L8C,"Pericrocotus brevirostris (Vigors, 1831)",species
gi-I-6L8C,gi-I-7MZ,"Pericrocotus F. Boie, 1826",genus
gi-I-7MZ,gi-I-3RL,"Campephagidae Vigors, 1825",family
gi-I-6H234,gi-I-633LL,Erigeron neomexicanus A. Gray,species
gi-I-6TB5,gi-I-K6J,"Podargus Vieillot, 1818",genus
gi-I-K6J,gi-I-627G9,Podarginae,subfamily
gi-I-627G9,gi-I-VJ,Podargidae,family
gi-I-VJ,gi-I-V2,Caprimulgiformes,order
gi-I-Z5CF,gi-I-3V77,"Crapatalus novaezelandiae Günther, 1861",species
gi-I-3V77,gi-I-BY8,Crapatalus,genus
gi-I-BY8,gi-I-PC,Leptoscopidae,family
gi-I-PC,gi-I-BXVWY,Perciformes,order
gi-I-4Z65N,gi-I-7L9G,"Spinus cucullatus (Swainson, 1820)",species
gi-I-7L9G,gi-I-6244D,"Spinus Koch, 1816",genus
gi-I-6244D,gi-I-3RL,"Fringillidae Leach, 1820",family
gi-I-6WQMV,gi-I-75Q7,"Pycnonotus erythropthalmos (Hume, 1878)",species
gi-I-75Q7,gi-I-FFJ,"Pycnonotus F. Boie, 1826",genus
gi-I-FFJ,gi-I-3RL,"Pycnonotidae G. R. Gray, 1840",family
gi-I-4M3D4,gi-I-7PD77,"Potamilus capax (Green, 1832)",species
gi-I-7PD77,gi-I-7NMHQ,"Potamilus Rafinesque, 1818",genus
gi-I-7NMHQ,gi-I-7NLMC,"Lampsilini Ihering, 1901",tribe
gi-I-7NLMC,gi-I-7NLH4,"Ambleminae Rafinesque, 1820",subfamily
gi-I-7NLH4,gi-I-7NFRS,"Unionidae Rafinesque, 1820",family
gi-I-7NFRS,gi-I-B6L8S,"Unionoidea Rafinesque, 1820",superfamily
gi-I-B6L8S,gi-I-7NF5J,"Unionida Gray, 1854",order
gi-I-7NF5J,gi-I-7NVXR,"Palaeoheterodonta Newell, 1965",subterclass
gi-I-7NVXR,gi-I-7NVXG,"Heteroconchia J. E. Gray, 1854",infraclass
gi-I-7NVXG,gi-I-BMGWC,"Autobranchia Grobben, 1894",subclass
gi-I-BMGWC,gi-I-M2L,"Bivalvia Linnaeus, 1758",class
gi-I-P5SC,gi-I-62JRZ,"Cacicus chrysonotus (Lafresnaye & Orbigny, 1838)",species
gi-I-62JRZ,gi-I-BCZ,"Cacicus Lacepede, 1799",genus
gi-I-BCZ,gi-I-3RL,Icteridae,family
gi-I-3MQYV,gi-I-4YXM,Hottonia inflata Elliott,species
gi-I-4YXM,gi-I-BVBDB,Hottonia L.,genus
gi-I-BVBDB,gi-I-627BN,Primuloideae Burnett,subfamily
gi-I-627BN,gi-I-625QY,Primulaceae Batsch ex Borkh.,family
gi-I-93V5,gi-I-627QR,"Accipiter gentilis (Linnaeus, 1758)",species
gi-I-627QR,gi-I-5W6,"Accipiter Brisson, 1760",genus
gi-I-72MPL,gi-I-8NTPT,"Longistigma caryae (Harris, 1841)",species
gi-I-8NTPT,gi-I-8PS44,"Longistigma Wilson, 1909",genus
gi-I-8PS44,gi-I-8PRVQ,"Lachnini Herrich-Schaeffer, 1854",tribe
gi-I-8PRVQ,gi-I-8NKH2,"Lachninae Herrich-Schaeffer, 1854",subfamily
gi-I-3823M,gi-I-48NT,Duguetia surinamensis R. E. Fr.,species
gi-I-48NT,gi-I-6FB,Duguetia,genus
gi-I-6FB,gi-I-3HL,Annonaceae,family
gi-I-3HL,gi-I-MG,Magnoliales,order
gi-I-349R3,gi-I-4247,"Dasyprocta leporina (Linnaeus, 1758)",species
gi-I-4247,gi-I-623WT,"Dasyprocta Illiger, 1811",genus
gi-I-623WT,gi-I-4L7,"Dasyproctidae Bonaparte, 1838",family
gi-I-4L7,gi-I-4DX,"Hystricognathi Brandt, 1855",infraorder
gi-I-4DX,gi-I-B6L6L,"Hystricomorpha Brandt, 1855",suborder
gi-I-4GMKD,gi-I-6NYB,Pholistoma racemosum (Nutt. ex A. Gray) Constance,species
gi-I-6NYB,gi-I-B8V,Pholistoma Lilja ex Lindl.,genus
gi-I-RYRF,gi-I-62KF2,Ceanothus incanus Torr. & A. Gray,species
gi-I-62KF2,gi-I-FN6,Ceanothus L.,genus
gi-I-4M643,gi-I-6V7H,Potentilla sterilis (L.) Garcke,species
gi-I-6V7H,gi-I-628NC,Potentilla L.,genus
gi-I-628NC,gi-I-FTK,Rosoideae Arn.,subfamily
gi-I-3Y83M,gi-I-5LHG,"Marmosa xerophila Handley & Gordon, 1979",species
gi-I-5LHG,gi-I-JFQ,"Marmosa Gray, 1821",genus
gi-I-JFQ,gi-I-98X,"Didelphinae Gray, 1821",subfamily
gi-I-98X,gi-I-BMGVZ,"Didelphidae Gray, 1821",family
gi-I-BMGVZ,gi-I-LJ,"Didelphimorphia Gill, 1872",order
gi-I-CQ47,gi-I-TMC,"Ambystoma jeffersonianum (Green, 1827)",species
gi-I-TMC,gi-I-69J,"Ambystoma Tschudi, 1838",genus
