name,parent_name,desc,rank
gi-J-627GF,gi-J-3RL,"Ploceidae Sundevall, 1836",family
gi-J-5ZXFY,gi-J-3TL7,Convolvulus arvensis L.,species
gi-J-3TL7,gi-J-JD7,Convolvulus L.,genus
gi-J-JD7,gi-J-8J9,Convolvuloideae Burnett,subfamily
gi-J-8J9,gi-J-B7VXK,Convolvulaceae Juss.,family
gi-J-B7VXK,gi-J-MG,Solanales Juss. ex Bercht. & J. Presl,order
gi-J-7X2SP,gi-J-8P3PL,"Thomomys (Megascapheus) townsendii (Bachman, 1839)",species
gi-J-8P3PL,gi-J-7W5J,"Megascapheus Elliot, 1903",subgenus
gi-J-7W5J,gi-J-6247K,"Thomomys Wied-Neuwied, 1839",genus
gi-J-6247K,gi-J-4CW,"Geomyidae Bonaparte, 1845",family
gi-J-4CW,gi-J-B6L6L,"Castorimorpha A. E. Wood, 1955",suborder
gi-J-765H2,gi-J-6JPH,Paullinia barbadensis Jacq.,species
gi-J-6JPH,gi-J-628N6,Paullinia L.,genus
gi-J-628N6,gi-J-FY3,Sapindoideae Burnett,subfamily
gi-J-FY3,gi-J-B7VXJ,Sapindaceae Juss.,family
gi-J-B7VXJ,gi-J-MG,Sapindales Juss. ex Bercht. & J. Presl,order
gi-J-4FFP7,gi-J-6M7J,"Peucedramus taeniatus (Du Bus de Gisignies, 1847)",species
gi-J-6M7J,gi-J-625VB,"Peucedramus Coues, 1875",genus
gi-J-625VB,gi-J-3RL,"Peucedramidae Wolters, 1980",family
gi-J-SSVH,gi-J-3KZT,"Cercomacra serva (P. L. Sclater, 1858)",species
gi-J-3KZT,gi-J-H5C,"Cercomacra P. L. Sclater, 1858",genus
gi-J-H5C,gi-J-3RL,"Thamnophilidae Swainson, 1824",family
gi-J-3TDTQ,gi-J-5CLQ,"Lepidothrix iris (Schinz, 1851)",species
gi-J-5CLQ,gi-J-625NN,"Lepidothrix Bonaparte, 1854",genus
gi-J-625NN,gi-J-3RL,Pipridae,family
gi-J-56Q6G,gi-J-7WHH,"Thylamys tatei (Handley, 1957)",species
gi-J-7WHH,gi-J-JFQ,"Thylamys Gray, 1843",genus
gi-J-JFQ,gi-J-98X,"Didelphinae Gray, 1821",subfamily
gi-J-98X,gi-J-BMGVZ,"Didelphidae Gray, 1821",family
gi-J-BMGVZ,gi-J-LJ,"Didelphimorphia Gill, 1872",order
gi-J-LJ,gi-J-924GT,"Metatheria Huxley, 1880",infraclass
gi-J-3MRB8,gi-J-4YZ7,Hovenia dulcis Thunb.,species
gi-J-4YZ7,gi-J-FN6,Hovenia Thunb.,genus
gi-J-7VD2R,gi-J-8NQ88,"Heteromys (Heteromys) nubicolens Anderson, 2006",species
gi-J-8NQ88,gi-J-4WKC,"Heteromys Desmarest, 1817",subgenus
gi-J-4WKC,gi-J-JNX,"Heteromys Desmarest, 1817",genus
gi-J-JNX,gi-J-6255W,"Heteromyinae Gray, 1868",subfamily
gi-J-6255W,gi-J-4CW,"Heteromyidae Gray, 1868",family
gi-J-7L44L,gi-J-4XCFM,Silene laciniata subsp. laciniata,subspecies
gi-J-4XCFM,gi-J-644QW,Silene laciniata Cav.,species
gi-J-644QW,gi-J-7RZ,Silene L.,genus
gi-J-7RZ,gi-J-BMH4R,Caryophyllaceae Juss.,family
gi-J-6YQLT,gi-J-7GWF,Silphium perfoliatum L.,species
gi-J-7GWF,gi-J-J6T,Silphium L.,genus
gi-J-4JBNX,gi-J-6QYS,"Pithecophaga jefferyi Ogilvie-Grant, 1896",species
gi-J-6QYS,gi-J-5W6,"Pithecophaga Ogilvie-Grant, 1896",genus
gi-J-5W6,gi-J-MB,"Accipitridae Vigors, 1824",family
gi-J-MB,gi-J-V2,Accipitriformes,order
gi-J-3W7FW,gi-J-639PX,"Loris lydekkerianus Cabrera, 1908",species
gi-J-639PX,gi-J-628LB,"Loris É. Geoffroy Saint-Hilaire, 1796",genus
gi-J-628LB,gi-J-C7M,"Lorisinae Gray, 1821",subfamily
gi-J-C7M,gi-J-4LX,"Lorisidae Gray, 1821",family
gi-J-4LX,gi-J-4FM,"Lorisiformes Gregory, 1915",infraorder
gi-J-4FM,gi-J-BMGW3,"Strepsirrhini É. Geoffroy Saint-Hilaire, 1812",suborder
gi-J-BMGW3,gi-J-LG,"Primates Linnaeus, 1758",order
gi-J-6PC49,gi-J-62X8H,"Lepilemur randrianasoloi Andriaholinirina, Fausser, Roos, Zinner, Thalmann, Rabarivola, Ravaoarimanana et al., 2017",species
gi-J-62X8H,gi-J-BWW,"Lepilemur I. Geoffroy Saint-Hilaire, 1851",genus
gi-J-BWW,gi-J-622ZR,"Lepilemuridae Gray, 1870",family
gi-J-622ZR,gi-J-93MP8,"Lemuroidea Gray, 1821",superfamily
gi-J-93MP8,gi-J-4FM,"Lemuriformes Gray, 1821",infraorder
gi-J-36ZKR,gi-J-4769,"Diuca diuca (Molina, 1782)",species
gi-J-4769,gi-J-H87,"Diuca Reichenbach, 1850",genus
gi-J-H87,gi-J-3RL,Thraupidae,family
gi-J-4RM46,gi-J-63QK6,"Rattus blangorum Miller, 1942",species
gi-J-63QK6,gi-J-JXJ,"Rattus Fischer, 1803",genus
gi-J-3BG94,gi-J-62S57,"Eryx conicus (Schneider, 1801)",species
gi-J-62S57,gi-J-87CHF,Eryx,genus
gi-J-87CHF,gi-J-79Q,Erycinae,subfamily
gi-J-79Q,gi-J-8GK5S,Boidae,family
gi-J-8GK5S,gi-J-BXVXG,Booidea,superfamily
gi-J-BXVXG,gi-J-9CK8W,Squamata,order
gi-J-9GBH8,gi-J-6427Y,"Poospiza goeringi (P. L. Sclater & Salvin, 1871)",species
gi-J-6427Y,gi-J-H87,"Poospiza Cabanis, 1847",genus
gi-J-52FKM,gi-J-7N9F,"Sternoclyta cyanopectus (Gould, 1846)",species
gi-J-7N9F,gi-J-KGD,"Sternoclyta Gould, 1858",genus
