name,parent_name,desc,rank
gi-K-4CKHB,gi-K-6DFM,"Papilio mackinnoni Sharpe, 1891",species
gi-K-6DFM,gi-K-DX5,Papilio,genus
gi-K-DX5,gi-K-5G9,Papilionidae,family
gi-K-5G9,gi-K-BJ5MJ,Papilionoidea,superfamily
gi-K-BJ5MJ,gi-K-H6,"Lepidoptera Linnaeus, 1758",order
gi-K-H6,gi-K-RT,Insecta,class
gi-K-RT,gi-K-N,Arthropoda,phylum
gi-K-44L27,gi-K-63CP7,"Muraena augusti (Kaup, 1856)",species
gi-K-63CP7,gi-K-CZ9,Muraena,genus
gi-K-CZ9,gi-K-PJ,Muraenidae,family
gi-K-PJ,gi-K-BXVWY,Anguilliformes,order
gi-K-4XDPN,gi-K-7GVS,"Sillago ingenuua McKay, 1985",species
gi-K-69DLL,gi-K-3HRJ,"Carollia sowelli Baker, Solari & Hoffmann, 2002",species
gi-K-3HRJ,gi-K-B6MG2,"Carollia Gray, 1838",genus
gi-K-B6MG2,gi-K-625JW,"Carolliinae Miller, 1924",subfamily
gi-K-53G5R,gi-K-64646,"Suncus dayi (Dobson, 1888)",species
gi-K-64646,gi-K-626TY,"Suncus Ehrenberg, 1832",genus
gi-K-87C5,gi-K-622J6,"Vulpes Frisch, 1775",genus
gi-K-622J6,gi-K-4CT,"Canidae Fischer, 1817",family
gi-K-7DZ38,gi-K-85BL,"Urosaurus ornatus (Baird & Girard, 1852)",species
gi-K-85BL,gi-K-625ZC,Urosaurus,genus
gi-K-625ZC,gi-K-87BW7,Phrynosomatidae,family
gi-K-87BW7,gi-K-BXVXG,Iguania,superfamily
gi-K-BXVXG,gi-K-9CK8W,Squamata,order
gi-K-8K3MN,gi-K-3S9N,"Colibri cyanotus (Bourcier, 1843)",species
gi-K-3S9N,gi-K-K4V,"Colibri von Spix, 1824",genus
gi-K-394BH,gi-K-62QCK,"Elapognathus minor (Günther, 1863)",species
gi-K-62QCK,gi-K-87CJ2,Elapognathus,genus
gi-K-87CJ2,gi-K-9LQ,Hydrophiinae,subfamily
gi-K-9LQ,gi-K-8H73Q,Elapidae,family
gi-K-8H73Q,gi-K-BXVXG,Elapoidea,superfamily
gi-K-5JGLH,gi-K-3WSTQ,Lyonothamnus floribundus subsp. floribundus,subspecies
gi-K-3WSTQ,gi-K-5HRJ,Lyonothamnus floribundus A. Gray,species
gi-K-5HRJ,gi-K-BVBB9,Lyonothamnus A. Gray,genus
gi-K-BVBB9,gi-K-FTK,Amygdaloideae Arn.,subfamily
gi-K-FTK,gi-K-BMGVT,Rosaceae Juss.,family
gi-K-BMGVT,gi-K-MG,Rosales Bercht. & J. Presl,order
gi-K-59PMK,gi-K-647VS,"Turdus obsoletus Lawrence, 1862",species
gi-K-647VS,gi-K-HLW,"Turdus Linnaeus, 1758",genus
gi-K-HLW,gi-K-3RL,Turdidae,family
gi-K-452NS,gi-K-5W9F,"Myiarchus panamensis Lawrence, 1860",species
gi-K-5W9F,gi-K-HMW,"Myiarchus Cabanis, 1844",genus
gi-K-HMW,gi-K-3RL,Tyrannidae,family
gi-K-4NGTP,gi-K-6YHP,"Psephotus varius A. H. Clark, 1910",species
gi-K-6YHP,gi-K-628M9,"Psephotus Gould, 1845",genus
gi-K-628M9,gi-K-FBD,Psittacinae,subfamily
gi-K-FBD,gi-K-3X7,Psittacidae,family
gi-K-3X7,gi-K-V2,Psittaciformes,order
gi-K-B9795,gi-K-B8XFJ,Austrolycopodium paniculatum (Desv. ex Poir.) Holub,species
gi-K-B8XFJ,gi-K-BVBCX,Austrolycopodium Holub,genus
gi-K-BVBCX,gi-K-B8VBF,Lycopodioideae Eaton,subfamily
gi-K-B8VBF,gi-K-B8V4F,Lycopodiaceae P. Beauv. ex Mirb.,family
gi-K-B8V4F,gi-K-LYC,Lycopodiales DC. ex Bercht. & J. Presl,order
gi-K-LYC,gi-K-TP,Lycopodiopsida,class
gi-K-BSWB,gi-K-S22,"Allactodipus bobrinskii Kolesnikov, 1937",species
gi-K-S22,gi-K-J4F,"Allactodipus Kolesnikov, 1937",genus
