name,parent_name,desc,rank
gi-G-6L2,gi-G-BMGVQ,Apocynaceae Juss.,family
gi-G-BMGVQ,gi-G-MG,Gentianales Juss. ex Bercht. & J. Presl,order
gi-G-7WLRX,gi-G-7PV9X,"Procambarus cometes Fitzpatrick, 1978",species
gi-G-7PV9X,gi-G-7NG9Q,"Procambarus Ortmann, 1905",genus
gi-G-7NG9Q,gi-G-7NFLX,"Cambaridae Hobbs, 1942",family
gi-G-7NFLX,gi-G-7NFK5,"Astacoidea Latreille, 1802",superfamily
gi-G-7NFK5,gi-G-7NFJ8,"Astacidea Latreille, 1802",infraorder
gi-G-7NFJ8,gi-G-33N,Pleocyemata,suborder
gi-G-33N,gi-G-MC,Decapoda,order
gi-G-MC,gi-G-RT,Malacostraca,class
gi-G-6W42C,gi-G-6SRF,Pleurocoronis pluriseta (A. Gray) R. M. King & H. Rob.,species
gi-G-6SRF,gi-G-J6T,Pleurocoronis R. M. King & H. Rob.,genus
gi-G-6VZVG,gi-G-63PLB,"Psalidoprocne obscura (Hartlaub, 1855)",species
gi-G-63PLB,gi-G-B3Y,"Psalidoprocne Cabanis, 1850",genus
gi-G-B3Y,gi-G-3RL,"Hirundinidae Rafinesque, 1815",family
gi-G-BJHG,gi-G-7NNHB,"Alcicornis carangis MacCallum, 1917",species
gi-G-7NNHB,gi-G-7ZFLG,"Alcicornis MacCallum, 1917",genus
gi-G-7ZFLG,gi-G-7NG6T,"Bucephalinae Poche, 1907",subfamily
gi-G-7NG6T,gi-G-B6LP6,"Bucephalidae Poche, 1907",family
gi-G-B6LP6,gi-G-7ZFKR,"Bucephaloidea Poche, 1907",superfamily
gi-G-7ZFKR,gi-G-B6LFM,"Bucephalata La Rue, 1926",suborder
gi-G-B6LFM,gi-G-7NF56,"Plagiorchiida La Rue, 1957",order
gi-G-7NF56,gi-G-BMH4D,"Digenea Carus, 1863",subclass
gi-G-BMH4D,gi-G-7NF2W,Trematoda,class
gi-G-7NF2W,gi-G-BMGTS,"Rhabditophora Ehlers, 1985",subphylum
gi-G-BMGTS,gi-G-N,"Platyhelminthes Minot, 1876",phylum
gi-G-6YWYV,gi-G-7KDD,Sphaeralcea rusbyi A. Gray,species
gi-G-7KDD,gi-G-93LT9,Sphaeralcea A. St.-Hil.,genus
gi-G-93LT9,gi-G-CDB,Malvoideae Burnett,subfamily
gi-G-CDB,gi-G-B7VXR,Malvaceae Juss.,family
gi-G-B7VXR,gi-G-MG,Malvales Juss. ex Bercht. & J. Presl,order
gi-G-4WVY3,gi-G-7FV4,Serjania elongata J. F. Macbr.,species
gi-G-7FV4,gi-G-628N6,Serjania Mill.,genus
gi-G-628N6,gi-G-FY3,Sapindoideae Burnett,subfamily
gi-G-FY3,gi-G-B7VXJ,Sapindaceae Juss.,family
gi-G-6Z52Z,gi-G-7HWK,"Sitta europaea Linnaeus, 1758",species
gi-G-7HWK,gi-G-626XK,"Sitta Linnaeus, 1758",genus
gi-G-626XK,gi-G-3RL,"Sittidae Lesson, 1828",family
gi-G-3TDVX,gi-G-5CLW,"Lepidotrigla brachyoptera Hutton, 1872",species
gi-G-5CLW,gi-G-HG2,Lepidotrigla,genus
gi-G-HG2,gi-G-42M,Triglidae,family
gi-G-42M,gi-G-BXVWY,Scorpaeniformes,order
gi-G-323MM,gi-G-3WVF,"Crypturellus duidae J. T. Zimmer, 1938",species
gi-G-3WVF,gi-G-H9S,"Crypturellus Brabourne & C. Chubb, 1914",genus
gi-G-H9S,gi-G-48D,Tinamidae,family
gi-G-48D,gi-G-V2,Tinamiformes,order
gi-G-K35D,gi-G-36PX,"Aviceda madagascariensis (A. Smith, 1834)",species
gi-G-36PX,gi-G-5W6,"Aviceda Swainson, 1836",genus
gi-G-42RRC,gi-G-5RGN,"Microbates collaris (Pelzeln, 1868)",species
gi-G-5RGN,gi-G-627GW,"Microbates P. L. Sclater & Salvin, 1873",genus
gi-G-627GW,gi-G-3RL,"Polioptilidae S. F. Baird, 1858",family
