name,parent_name,desc,rank
gi-H-87BW6,gi-H-BXVXG,Gekkota,superfamily
gi-H-43HT7,gi-H-63BQT,"Mimus parvulus (Gould, 1837)",species
gi-H-63BQT,gi-H-CTD,"Mimus F. Boie, 1826",genus
gi-H-CTD,gi-H-3RL,"Mimidae Bonaparte, 1853",family
gi-H-3QTLP,gi-H-56Y4,Juncus confusus Coville,species
gi-H-56Y4,gi-H-BJG,Juncus L.,genus
gi-H-BJG,gi-H-627VM,Juncaceae Juss.,family
gi-H-627VM,gi-H-L2L,Poales,order
gi-H-L2L,gi-H-TP,Liliopsida,class
gi-H-8LZBM,gi-H-8PQT8,"Myotis (Pizonyx) brandtii (Eversmann, 1845)",species
gi-H-8PQT8,gi-H-5WGF,"Pizonyx Miller, 1906",subgenus
gi-H-5WGF,gi-H-JXX,"Myotis Kaup, 1829",genus
gi-H-JXX,gi-H-HTH,"Myotinae Tate, 1942",subfamily
gi-H-5W3R4,gi-H-32BW,"Arctocebus aureus de Winton, 1902",species
gi-H-32BW,gi-H-K4G,"Arctocebus Gray, 1863",genus
gi-H-K4G,gi-H-C7M,"Perodicticinae Gray, 1870",subfamily
gi-H-C7M,gi-H-4LX,"Lorisidae Gray, 1821",family
gi-H-4LX,gi-H-4FM,"Lorisiformes Gregory, 1915",infraorder
gi-H-4FM,gi-H-BMGW3,"Strepsirrhini É. Geoffroy Saint-Hilaire, 1812",suborder
gi-H-7FLPQ,gi-H-869G,"Veniliornis affinis (Swainson, 1821)",species
gi-H-869G,gi-H-K5T,"Veniliornis Bonaparte, 1854",genus
gi-H-K5T,gi-H-625L8,Picinae,subfamily
gi-H-625L8,gi-H-3TR,Picidae,family
gi-H-7V4Y3,gi-H-8P3K5,"Gerbillus (Hendecapleura) watersi de Winton, 1901",species
gi-H-8P3K5,gi-H-4N64,"Hendecapleura Lataste, 1884",subgenus
gi-H-4N64,gi-H-JLF,"Gerbillus Desmarest, 1804",genus
gi-H-JLF,gi-H-624PH,"Gerbillinae Gray, 1825",subfamily
gi-H-624PH,gi-H-622LW,"Muridae Illiger, 1811",family
gi-H-623HW,gi-H-4FD,"Gliridae Muirhead, 1819",family
gi-H-4FD,gi-H-B6L6L,"Sciuromorpha Brandt, 1855",suborder
gi-H-4XTSL,gi-H-7HWK,"Sitta leucopsis Gould, 1850",species
gi-H-7HWK,gi-H-626XK,"Sitta Linnaeus, 1758",genus
gi-H-626XK,gi-H-3RL,"Sittidae Lesson, 1828",family
gi-H-4H4V5,gi-H-6PJF,"Phyllastrephus icterinus (Bonaparte, 1850)",species
gi-H-6PJF,gi-H-FFJ,"Phyllastrephus Swainson, 1832",genus
gi-H-FFJ,gi-H-3RL,"Pycnonotidae G. R. Gray, 1840",family
gi-H-424MT,gi-H-62YWB,"Mesomys hispidus (Desmarest, 1817)",species
gi-H-62YWB,gi-H-JK6,"Mesomys Wagner, 1845",genus
gi-H-JK6,gi-H-9JX,"Eumysopinae Rusconi, 1935",subfamily
gi-H-9JX,gi-H-4L7,"Echimyidae Gray, 1825",family
gi-H-4L7,gi-H-4DX,"Hystricognathi Brandt, 1855",infraorder
gi-H-4DX,gi-H-B6L6L,"Hystricomorpha Brandt, 1855",suborder
gi-H-6NGXQ,gi-H-56Y4,Juncus triformis Engelm.,species
gi-H-6KP2K,gi-H-4PQL,"Gobius salamansa Iglésias & Frotté, 2015",species
gi-H-4PQL,gi-H-623LH,Gobius,genus
gi-H-623LH,gi-H-PC,Gobiidae,family
gi-H-PC,gi-H-BXVWY,Perciformes,order
gi-H-BXVWY,gi-H-8VVWB,Actinopterygii,class
gi-H-76RSH,gi-H-6L2W,"Percina apristis (Hubbs & Hubbs, 1954)",species
gi-H-6L2W,gi-H-625TX,Percina,genus
gi-H-625TX,gi-H-PC,Percidae,family
gi-H-3L87Q,gi-H-4WB3,"Heterocheirodon jacuiensis Malabarba & Bertaco, 1999",species
gi-H-4WB3,gi-H-7ZZ,Heterocheirodon,genus
gi-H-7ZZ,gi-H-X2,Characidae,family
gi-H-X2,gi-H-BXVWY,Characiformes,order
gi-H-BTD8Y,gi-H-V48P,Chylismia claviformis var. funerea (P. H. Raven) Tiehm,variety
gi-H-V48P,gi-H-3PQ6,Chylismia claviformis (Torr. & Frém.) A. Heller,species
gi-H-3PQ6,gi-H-K22,Chylismia Nutt. ex Torr. & A. Gray,genus
gi-H-32QT2,gi-H-3XQY,"Cyathochromis obliquidens Trewavas, 1935",species
gi-H-3XQY,gi-H-88R,Cyathochromis,genus
gi-H-88R,gi-H-PC,Cichlidae,family
gi-H-6WM43,gi-H-74VF,Pterospora andromedea Nutt.,species
gi-H-74VF,gi-H-93LTB,Pterospora Nutt.,genus
gi-H-93LTB,gi-H-623P8,Monotropoideae Arn.,subfamily
gi-H-623P8,gi-H-625QY,Ericaceae Juss.,family
gi-H-625QY,gi-H-MG,Ericales,order
gi-H-B77KR,gi-H-78R6M,"Ramphocelus passerinii costaricensis Cherrie, 1891",subspecies
gi-H-78R6M,gi-H-63QHV,"Ramphocelus passerinii Bonaparte, 1831",species
gi-H-63QHV,gi-H-H87,"Ramphocelus Desmarest, 1805",genus
gi-H-H87,gi-H-3RL,Thraupidae,family
gi-H-4TVRV,gi-H-643M7,Sabulina decumbens (T. W. Nelson & J. P. Nelson) Dillenb. & Kadereit,species
gi-H-643M7,gi-H-7RZ,Sabulina Rchb.,genus
gi-H-7RZ,gi-H-BMH4R,Caryophyllaceae Juss.,family
gi-H-BMH4R,gi-H-MG,Caryophyllales Juss. ex Bercht. & J. Presl,order
gi-H-FWMG,gi-H-62CNT,"Aprasia pseudopulchella Kluge, 1974",species
gi-H-62CNT,gi-H-62784,Aprasia,genus
gi-H-62784,gi-H-87BW6,Pygopodidae,family
gi-H-6Z3PM,gi-H-644BW,"Skythrenchelys zabra Castle & McCosker, 1999",species
gi-H-644BW,gi-H-DMH,Skythrenchelys,genus
gi-H-DMH,gi-H-PJ,Ophichthidae,family
gi-H-PJ,gi-H-BXVWY,Anguilliformes,order
gi-H-6RXF9,gi-H-63FDX,"Neotetracus sinensis Trouessart, 1909",species
gi-H-63FDX,gi-H-93MVP,"Neotetracus Trouessart, 1909",genus
gi-H-93MVP,gi-H-623NY,"Galericinae Pomel, 1848",subfamily
gi-H-623NY,gi-H-376,"Erinaceidae G. Fischer, 1814",family
gi-H-376,gi-H-LG,"Erinaceomorpha Gregory, 1910",order
gi-H-3M36Z,gi-H-4XGJ,"Hipposideros fuliginosus (Temminck, 1853)",species
gi-H-4XGJ,gi-H-B3M,"Hipposideros Gray, 1831",genus
gi-H-B3M,gi-H-5M3,"Hipposideridae Lydekker, 1891",family
gi-H-5M3,gi-H-4FY,"Rhinolophoidea Gray, 1825",superfamily
gi-H-4FY,gi-H-B6L7G,"Yinpterochiroptera Springer, Teeling, Madsen, Stanhope & Jong, 2001",suborder
gi-H-75GNW,gi-H-63JJ9,Pachycereus hollianus (F. A. C. Weber) Buxb.,species
gi-H-63JJ9,gi-H-93LST,Pachycereus (A. Berger) Britton & Rose,genus
gi-H-93LST,gi-H-7HS,Cactoideae Eaton,subfamily
gi-H-7HS,gi-H-BMH4R,Cactaceae Juss.,family
gi-H-78PCW,gi-H-63R6Z,"Pulvinaria regalis Canard, 1968",species
gi-H-63R6Z,gi-H-8D9,Pulvinaria,genus
gi-H-8D9,gi-H-C2KG4,Coccidae,family
gi-H-C2KG4,gi-H-BXWD4,"Coccidomorpha Heslop-Harrison, 1952",infraorder
gi-H-BXWD4,gi-H-BXVWV,"Sternorrhyncha Amyot & Audinet-Serville, 1843",suborder
gi-H-BXVWV,gi-H-H6,"Hemiptera Linnaeus, 1758",order
gi-H-76BG9,gi-H-6KB7,"Pellorneum albiventre (Godwin-Austen, 1877)",species
gi-H-6KB7,gi-H-6264V,"Pellorneum Swainson, 1832",genus
gi-H-6264V,gi-H-3RL,"Pellorneidae Vigors & Delacour, 1946",family
gi-H-3F6WZ,gi-H-4LY7,"Gallirallus calayanensis D. Allen, C. Oliveros, C. Espanola G. Broad & J. C. T. Gonzalez, 2004",species
gi-H-4LY7,gi-H-FJ9,"Gallirallus Lafresnaye, 1841",genus
gi-H-FJ9,gi-H-6223K,Rallidae,family
gi-H-6223K,gi-H-V2,Gruiformes,order
gi-H-5HGQ2,gi-H-3G2LS,Gilia cana subsp. cana,subspecies
gi-H-3G2LS,gi-H-4NJB,Gilia cana (M. E. Jones) A. Heller,species
gi-H-4NJB,gi-H-K6Q,Gilia Ruiz & Pav.,genus
gi-H-K6Q,gi-H-627H7,Polemonioideae Arn.,subfamily
gi-H-627H7,gi-H-625QY,Polemoniaceae Juss.,family
gi-H-3RBFP,gi-H-58NG,Koeberlinia spinosa Zucc.,species
gi-H-58NG,gi-H-BMR,Koeberlinia Zucc.,genus
gi-H-BMR,gi-H-6228L,Koeberliniaceae Engl.,family
gi-H-6228L,gi-H-MG,Brassicales Bromhead,order
gi-H-MW68,gi-H-3CCL,"Brachygalba lugubris (Swainson, 1838)",species
gi-H-3CCL,gi-H-6245F,"Brachygalba Bonaparte, 1854",genus
gi-H-6245F,gi-H-3TR,Galbulidae,family
gi-H-BRK6D,gi-H-5TGDC,Senega hookeri (Torr. & A. Gray) J. F. B. Pastore & J. R. Abbott,species
gi-H-5TGDC,gi-H-627KC,Senega Spach,genus
gi-H-627KC,gi-H-383,Polygalaceae Hoffmanns. & Link,family
gi-H-383,gi-H-MG,Fabales Bromhead,order
gi-H-6QSWY,gi-H-5KQ8,"Malurus splendens (Quoy & Gaimard, 1830)",species
gi-H-5KQ8,gi-H-624L2,"Malurus Vieillot, 1816",genus
gi-H-624L2,gi-H-3RL,Maluridae,family
gi-H-38FMQ,gi-H-49FW,"Echimys chrysurus (Zimmermann, 1780)",species
gi-H-49FW,gi-H-JH9,"Echimys G. Cuvier, 1809",genus
gi-H-JH9,gi-H-9JX,"Echimyinae Gray, 1825",subfamily
gi-H-4X4PZ,gi-H-63SQK,Shinnersia rivularis (A. Gray) R. M. King & H. Rob.,species
gi-H-63SQK,gi-H-J6T,Shinnersia R. M. King & H. Rob.,genus
gi-H-PY9R,gi-H-62KR5,"Caloenas maculata (J. F. Gmelin, 1789)",species
gi-H-62KR5,gi-H-JCZ,"Caloenas G. R. Gray, 1840",genus
gi-H-JCZ,gi-H-8GD,Columbinae,subfamily
gi-H-5TPT,gi-H-625XL,"Mirounga Gray, 1827",genus
gi-H-625XL,gi-H-4CT,"Phocidae Gray, 1821",family
gi-H-4CT,gi-H-B6L7F,"Caniformia Kretzoi, 1938",suborder
gi-H-B6L7F,gi-H-LG,"Carnivora Bowdich, 1821",order
gi-H-6W932,gi-H-6VR3,"Prionailurus planiceps (Vigors & Horsfield, 1827)",species
gi-H-6VR3,gi-H-JKL,"Prionailurus Severtzov, 1858",genus
gi-H-JKL,gi-H-623RM,"Felinae Fischer de Waldheim, 1817",subfamily
gi-H-623RM,gi-H-4DL,"Felidae Fischer de Waldheim, 1817",family
gi-H-4DL,gi-H-B6L7F,"Feliformia Kretzoi, 1945",suborder
gi-H-3B4PH,gi-H-62RM7,Eriogonum gracile Benth.,species
gi-H-62RM7,gi-H-93LT4,Eriogonum Michx.,genus
gi-H-93LT4,gi-H-627KD,Eriogonoideae Arn.,subfamily
gi-H-627KD,gi-H-BMH4R,Polygonaceae Juss.,family
gi-H-3S3HF,gi-H-62XHH,"Lampornis calolaemus (Salvin, 1865)",species
gi-H-62XHH,gi-H-KGD,"Lampornis Swainson, 1827",genus
gi-H-KGD,gi-H-HHZ,Trochilinae,subfamily
gi-H-HHZ,gi-H-Q9,Trochilidae,family
gi-H-Q9,gi-H-V2,Apodiformes,order
gi-H-5VM3F,gi-H-62CVR,Aphanisma blitoides Nutt. ex Moq.,species
gi-H-62CVR,gi-H-J84,Aphanisma Nutt. ex Moq.,genus
gi-H-J84,gi-H-68Z,Betoideae Ulbr.,subfamily
gi-H-68Z,gi-H-BMH4R,Amaranthaceae Juss.,family
gi-H-6X636,gi-H-78QQ,"Rhinolophus creaghi Thomas, 1896",species
gi-H-78QQ,gi-H-FP2,"Rhinolophus Lacépède, 1799",genus
gi-H-FP2,gi-H-5M3,"Rhinolophidae Gray, 1825",family
gi-H-9XPSX,gi-H-9XDGZ,"Metapenaeus alcocki M. J. George & Rao, 1968",species
gi-H-9XDGZ,gi-H-BV3P6,"Metapenaeus Wood-Mason, 1891",genus
gi-H-BV3P6,gi-H-BRKNM,"Penaeidae Rafinesque, 1815",family
gi-H-BRKNM,gi-H-BMJWQ,"Penaeoidea Rafinesque, 1815",superfamily
gi-H-BMJWQ,gi-H-33N,"Dendrobranchiata Spence Bate, 1888",suborder
gi-H-33N,gi-H-MC,Decapoda,order
gi-H-MC,gi-H-RT,Malacostraca,class
gi-H-8TQTZ,gi-H-5NRH,"Melipotes carolae Beehler, Prawiradilaga, de Fretes & N. Kemp, 2007",species
gi-H-5NRH,gi-H-CKJ,"Melipotes P. L. Sclater, 1874",genus
gi-H-CKJ,gi-H-3RL,Meliphagidae,family
gi-H-3SGW5,gi-H-5B7S,"Lasius alienus (Foerster, 1850)",species
gi-H-5B7S,gi-H-KXL,"Lasius Fabricius, 1804",genus
gi-H-KXL,gi-H-JKW,Lasiini,tribe
gi-H-JKW,gi-H-623T5,Formicinae,subfamily
gi-H-623T5,gi-H-VP,Formicidae,family
gi-H-VP,gi-H-HYM,Vespoidea,superfamily
gi-H-HYM,gi-H-H6,Hymenoptera,order
gi-H-59PKY,gi-H-647VS,"Turdus amaurochalinus Cabanis, 1850",species
gi-H-647VS,gi-H-HLW,"Turdus Linnaeus, 1758",genus
gi-H-HLW,gi-H-3RL,Turdidae,family
gi-H-7FFVZ,gi-H-85WS,"Varanus nesterovi Böhme, Ehrlich, Milto, Orlov & Scholz, 2015",species
gi-H-85WS,gi-H-6273W,Varanus,genus
gi-H-6273W,gi-H-8H5NL,Varanidae,family
gi-H-8H5NL,gi-H-BXVXG,Platynota,superfamily
gi-H-BPCLJ,gi-H-6SSQG,Oreocarya suffruticosa var. setosa (Brand) R. B. Kelley,variety
gi-H-6SSQG,gi-H-69K4,Oreocarya suffruticosa (Torr.) Greene,species
gi-H-69K4,gi-H-7NDYV,Oreocarya Greene,genus
gi-H-3W7GB,gi-H-639PZ,"Lorius chlorocercus Gould, 1856",species
gi-H-639PZ,gi-H-628JZ,"Lorius Vigors, 1825",genus
gi-H-628JZ,gi-H-FBD,Loriinae,subfamily
gi-H-FBD,gi-H-3X7,Psittacidae,family
gi-H-3X7,gi-H-V2,Psittaciformes,order
gi-H-6N26K,gi-H-52MY,Hypochaeris glabra L.,species
gi-H-52MY,gi-H-JCD,Hypochaeris L.,genus
gi-H-JCD,gi-H-622TP,Cichorioideae (Juss.) Chev.,subfamily
gi-H-7WYZ2,gi-H-8NT8H,"Tamias (Neotamias) canipes (V. Bailey, 1902)",species
gi-H-8NT8H,gi-H-63TGT,"Neotamias A. H. Howell, 1929",subgenus
gi-H-63TGT,gi-H-93N4J,"Tamias Illiger, 1811",genus
gi-H-93N4J,gi-H-KHX,"Marmotini Pocock, 1923",tribe
gi-H-KHX,gi-H-G48,"Xerinae Osborn, 1910",subfamily
gi-H-G48,gi-H-4FD,"Sciuridae Fischer de Waldheim, 1817",family
gi-H-HQQ,gi-H-4CT,"Ursidae Fischer de Waldheim, 1817",family
gi-H-3WBPR,gi-H-5H5K,"Lucifuga spelaeotes Cohen & Robins, 1970",species
gi-H-5H5K,gi-H-7HG,Lucifuga,genus
gi-H-7HG,gi-H-3PT,Bythitidae,family
gi-H-3PT,gi-H-BXVWY,Ophidiiformes,order
gi-H-45CW3,gi-H-5WPR,"Myrmoborus leucophrys (Tschudi, 1844)",species
gi-H-5WPR,gi-H-H5C,"Myrmoborus Cabanis & Heine, 1859",genus
gi-H-H5C,gi-H-3RL,"Thamnophilidae Swainson, 1824",family
gi-H-BQWG9,gi-H-48X8B,Oenanthe javanica subsp. javanica,subspecies
gi-H-48X8B,gi-H-679Q,Oenanthe javanica (Blume) DC.,species
gi-H-679Q,gi-H-J5W,Oenanthe L.,genus
gi-H-J5W,gi-H-6KC,Apioideae (Drude) Thorne ex Royen,subfamily
gi-H-6KC,gi-H-BMH4H,Apiaceae Lindl.,family
gi-H-BMH4H,gi-H-MG,Apiales Nakai,order
gi-H-3K5ZR,gi-H-62TKF,Helianthus pumilus Nutt.,species
gi-H-62TKF,gi-H-J6T,Helianthus L.,genus
gi-H-7VTBN,gi-H-8P3TX,"Meriones (Pallasiomys) libycus Lichtenstein, 1823",species
gi-H-8P3TX,gi-H-62YW3,"Pallasiomys Heptner, 1933",subgenus
gi-H-62YW3,gi-H-JLF,"Meriones Illiger, 1811",genus
gi-H-4TVSG,gi-H-643M7,Sabulina howellii (S. Watson) Dillenb. & Kadereit,species
gi-H-6JXG8,gi-H-4LXK,"Gallicolumba tristigmata (Bonaparte, 1855)",species
